ra,aluno,disciplina,nota1,nota2,nota3,media,frequencia
2024394,Olivia Barros,Redes,3.7,9.8,4.3,5.93,96
2024395,Paulo Câmara,Redes,9.3,6.5,8.9,8.23,72
2024396,Raquel Tavares,Matemática,5.8,6.9,3.2,5.3,91
2024397,Samuel Duarte,Redes,6.9,9.8,4.2,6.97,98
2024398,Tainá Furtado,Matemática,7.2,6.1,3.6,5.63,100
2024399,Vitor Hugo,Matemática,2.5,9.0,5.4,5.63,66
2024400,Ana Souza,Programação,7.6,2.5,4.8,4.97,77
2024401,Bruno Lima,Programação,6.3,3.5,5.2,5.0,71
2024402,Carla Mendes,Matemática,4.6,2.4,8.5,5.17,82
2024403,Diego Rocha,Programação,9.1,9.2,6.4,8.23,65
2024404,Elisa Prado,Estatística,6.4,3.3,5.3,5.0,75
2024405,Felipe Nunes,Redes,8.1,2.5,5.6,5.4,99
2024406,Gabriela Melo,Banco de Dados,3.3,5.7,5.5,4.83,80
2024407,Henrique Dias,Programação,3.4,6.4,9.1,6.3,97
2024408,Isabela Castro,Redes,9.1,7.4,9.1,8.53,78
2024409,João Pedro,Programação,8.5,5.3,8.0,7.27,97
2024410,Karen Alves,Estatística,7.1,9.1,9.7,8.63,90
2024411,Lucas Teixeira,Programação,5.2,2.8,5.5,4.5,84
2024412,Mariana Farias,Matemática,2.0,2.6,3.2,2.6,97
2024413,Nicolas Reis,Programação,3.6,3.8,6.9,4.77,71
2024414,Olivia Barros,Redes,8.8,7.8,3.8,6.8,76
2024415,Paulo Câmara,Banco de Dados,7.9,7.8,2.5,6.07,95
2024416,Raquel Tavares,Estatística,7.7,8.1,9.5,8.43,66
2024417,Samuel Duarte,Banco de Dados,9.6,5.9,5.1,6.87,67
2024418,Tainá Furtado,Banco de Dados,8.0,7.8,8.6,8.13,75
2024419,Vitor Hugo,Matemática,7.1,9.5,6.2,7.6,82
2024420,Ana Souza,Programação,8.2,7.0,5.7,6.97,93
2024421,Bruno Lima,Banco de Dados,2.9,9.3,7.6,6.6,87
2024422,Carla Mendes,Redes,5.4,8.8,7.1,7.1,99
2024423,Diego Rocha,Estatística,4.8,6.0,7.9,6.23,66
2024424,Elisa Prado,Programação,7.6,5.0,7.6,6.73,90
2024425,Felipe Nunes,Redes,5.1,3.4,9.0,5.83,71
2024426,Gabriela Melo,Programação,4.6,3.6,6.9,5.03,75
2024427,Henrique Dias,Estatística,4.6,6.8,7.4,6.27,65
2024428,Isabela Castro,Banco de Dados,7.9,9.1,6.6,7.87,66
2024429,João Pedro,Banco de Dados,4.1,5.8,8.1,6.0,91
2024430,Karen Alves,Banco de Dados,6.7,10.0,2.5,6.4,93
2024431,Lucas Teixeira,Redes,6.9,5.9,6.5,6.43,100
2024432,Mariana Farias,Redes,5.7,7.5,6.0,6.4,100
2024433,Nicolas Reis,Estatística,7.5,8.8,4.3,6.87,82
2024434,Olivia Barros,Matemática,9.6,3.5,6.9,6.67,97
2024435,Paulo Câmara,Estatística,2.9,5.7,4.3,4.3,94
2024436,Raquel Tavares,Redes,9.5,4.7,5.2,6.47,99
2024437,Samuel Duarte,Redes,2.9,5.0,8.2,5.37,99
2024438,Tainá Furtado,Matemática,4.1,4.5,8.3,5.63,75
2024439,Vitor Hugo,Redes,8.4,9.0,4.6,7.33,75
2024440,Ana Souza,Matemática,8.7,9.9,3.3,7.3,73
2024441,Bruno Lima,Banco de Dados,2.3,5.2,6.4,4.63,68
2024442,Carla Mendes,Matemática,8.7,3.4,6.3,6.13,81
2024443,Diego Rocha,Estatística,6.2,8.2,2.0,5.47,99
2024444,Elisa Prado,Redes,6.4,9.0,8.4,7.93,86
2024445,Felipe Nunes,Banco de Dados,4.4,8.5,6.4,6.43,95
2024446,Gabriela Melo,Estatística,8.7,7.9,2.8,6.47,87
2024447,Henrique Dias,Banco de Dados,9.9,3.9,3.2,5.67,93
2024448,Isabela Castro,Estatística,9.3,2.4,3.7,5.13,87
2024449,João Pedro,Banco de Dados,8.1,5.2,6.7,6.67,87
2024450,Karen Alves,Programação,2.1,9.7,4.9,5.57,83
2024451,Lucas Teixeira,Matemática,6.5,8.1,3.5,6.03,93
2024452,Mariana Farias,Redes,7.3,9.2,4.4,6.97,93
2024453,Nicolas Reis,Redes,2.4,8.1,9.3,6.6,66
2024454,Olivia Barros,Matemática,6.2,3.3,9.0,6.17,67
2024455,Paulo Câmara,Matemática,2.9,8.0,5.4,5.43,72
2024456,Raquel Tavares,Matemática,3.8,9.4,4.4,5.87,81
2024457,Samuel Duarte,Programação,6.8,9.5,5.1,7.13,82
2024458,Tainá Furtado,Estatística,9.6,6.5,9.4,8.5,88
2024459,Vitor Hugo,Programação,4.4,2.3,3.1,3.27,73
2024460,Ana Souza,Matemática,4.6,4.8,6.8,5.4,95
2024461,Bruno Lima,Programação,4.5,5.4,3.4,4.43,76
2024462,Carla Mendes,Matemática,6.9,4.7,3.7,5.1,83
2024463,Diego Rocha,Banco de Dados,8.3,4.1,4.5,5.63,89
2024464,Elisa Prado,Estatística,6.3,7.5,4.6,6.13,79
2024465,Felipe Nunes,Redes,5.5,3.4,8.8,5.9,79
2024466,Gabriela Melo,Redes,3.8,2.0,8.6,4.8,73
2024467,Henrique Dias,Estatística,4.7,4.8,2.8,4.1,68
2024468,Isabela Castro,Matemática,7.9,5.2,7.3,6.8,70
2024469,João Pedro,Matemática,9.4,8.2,3.9,7.17,74
2024470,Karen Alves,Banco de Dados,6.0,5.4,4.2,5.2,99
2024471,Lucas Teixeira,Programação,6.9,6.4,7.7,7.0,85
2024472,Mariana Farias,Redes,4.6,3.4,7.3,5.1,75
2024473,Nicolas Reis,Estatística,3.1,8.9,2.8,4.93,72
2024474,Olivia Barros,Redes,4.6,4.9,2.7,4.07,69
2024475,Paulo Câmara,Matemática,4.7,2.4,8.8,5.3,68
2024476,Raquel Tavares,Estatística,4.5,2.7,5.6,4.27,84
2024477,Samuel Duarte,Estatística,5.8,8.1,7.1,7.0,87
2024478,Tainá Furtado,Programação,4.4,9.0,7.9,7.1,83
2024479,Vitor Hugo,Matemática,8.7,8.8,3.0,6.83,84
2024480,Ana Souza,Redes,5.7,4.1,8.8,6.2,78
2024481,Bruno Lima,Matemática,4.7,5.9,6.3,5.63,79
2024482,Carla Mendes,Programação,3.0,3.7,2.7,3.13,69
2024483,Diego Rocha,Programação,3.9,7.2,9.3,6.8,76
2024484,Elisa Prado,Banco de Dados,9.5,6.1,6.0,7.2,76
2024485,Felipe Nunes,Redes,2.5,8.4,5.8,5.57,95
2024486,Gabriela Melo,Programação,2.1,8.6,5.5,5.4,85
2024487,Henrique Dias,Matemática,4.5,3.0,7.5,5.0,91
2024488,Isabela Castro,Estatística,8.7,3.7,4.6,5.67,79
2024489,João Pedro,Banco de Dados,8.5,8.3,2.4,6.4,97
2024490,Karen Alves,Redes,8.9,4.8,7.5,7.07,77
2024491,Lucas Teixeira,Estatística,4.2,5.1,2.7,4.0,95
2024492,Mariana Farias,Banco de Dados,7.9,9.5,6.7,8.03,90
2024493,Nicolas Reis,Redes,9.5,9.9,3.8,7.73,90
2024494,Olivia Barros,Programação,6.7,6.6,9.1,7.47,92
2024495,Paulo Câmara,Estatística,9.8,4.7,6.9,7.13,66
2024496,Raquel Tavares,Matemática,2.9,6.3,6.4,5.2,95
2024497,Samuel Duarte,Programação,6.6,6.3,3.9,5.6,86
2024498,Tainá Furtado,Programação,2.8,2.7,6.8,4.1,98
2024499,Vitor Hugo,Estatística,9.2,3.4,4.4,5.67,82
2024500,Ana Souza,Redes,8.2,4.4,8.0,6.87,94
2024501,Bruno Lima,Redes,5.0,3.4,9.3,5.9,88
2024502,Carla Mendes,Banco de Dados,4.6,7.7,4.8,5.7,98
2024503,Diego Rocha,Programação,9.6,7.9,8.7,8.73,68
2024504,Elisa Prado,Programação,3.1,5.5,6.7,5.1,99
2024505,Felipe Nunes,Redes,7.3,7.3,7.0,7.2,69
2024506,Gabriela Melo,Programação,4.4,6.3,7.1,5.93,93
2024507,Henrique Dias,Matemática,5.7,9.4,8.0,7.7,98
2024508,Isabela Castro,Estatística,9.3,4.1,4.6,6.0,71
2024509,João Pedro,Estatística,8.4,3.6,6.0,6.0,75
2024510,Karen Alves,Redes,10.0,9.9,2.8,7.57,76
2024511,Lucas Teixeira,Programação,7.1,3.7,6.0,5.6,92
2024512,Mariana Farias,Redes,2.9,2.7,4.0,3.2,96
2024513,Nicolas Reis,Redes,2.6,9.6,4.7,5.63,65
2024514,Olivia Barros,Matemática,7.9,6.9,9.3,8.03,75
2024515,Paulo Câmara,Matemática,5.6,6.6,5.0,5.73,74
2024516,Raquel Tavares,Redes,8.9,9.4,6.7,8.33,79
2024517,Samuel Duarte,Estatística,2.7,8.6,4.5,5.27,97
2024518,Tainá Furtado,Redes,8.0,8.0,5.7,7.23,65
2024519,Vitor Hugo,Estatística,3.6,7.4,2.2,4.4,72
2024520,Ana Souza,Matemática,6.6,8.3,2.6,5.83,80
2024521,Bruno Lima,Redes,3.0,6.6,5.8,5.13,73
2024522,Carla Mendes,Estatística,4.8,3.9,5.4,4.7,68
2024523,Diego Rocha,Redes,4.6,6.3,2.8,4.57,97
2024524,Elisa Prado,Matemática,2.3,4.6,9.0,5.3,84
2024525,Felipe Nunes,Programação,7.7,3.7,2.6,4.67,86
2024526,Gabriela Melo,Redes,6.0,5.0,5.2,5.4,93
2024527,Henrique Dias,Matemática,3.7,4.8,7.8,5.43,90
2024528,Isabela Castro,Redes,4.0,4.8,8.4,5.73,68
2024529,João Pedro,Matemática,7.0,6.4,9.8,7.73,92
2024530,Karen Alves,Matemática,4.9,9.6,5.6,6.7,80
2024531,Lucas Teixeira,Matemática,7.2,8.9,8.6,8.23,80
2024532,Mariana Farias,Redes,5.9,3.5,4.8,4.73,72
2024533,Nicolas Reis,Matemática,5.0,4.0,9.7,6.23,67
2024534,Olivia Barros,Programação,8.7,9.3,5.8,7.93,76
2024535,Paulo Câmara,Banco de Dados,2.2,3.3,6.8,4.1,89
2024536,Raquel Tavares,Banco de Dados,2.0,9.3,4.4,5.23,98
2024537,Samuel Duarte,Matemática,5.0,4.0,2.5,3.83,91
2024538,Tainá Furtado,Matemática,2.3,2.8,10.0,5.03,94
2024539,Vitor Hugo,Estatística,7.1,3.6,6.3,5.67,84
2024540,Ana Souza,Banco de Dados,8.6,2.3,5.0,5.3,72
2024541,Bruno Lima,Matemática,3.5,6.5,2.0,4.0,96
2024542,Carla Mendes,Programação,2.1,3.1,5.4,3.53,92
2024543,Diego Rocha,Programação,9.5,6.1,2.8,6.13,81
2024544,Elisa Prado,Estatística,5.6,6.2,6.6,6.13,85
2024545,Felipe Nunes,Programação,9.4,6.6,6.6,7.53,67
2024546,Gabriela Melo,Banco de Dados,6.0,4.1,8.0,6.03,65
2024547,Henrique Dias,Redes,3.4,6.0,8.1,5.83,82
2024548,Isabela Castro,Redes,6.1,8.1,9.0,7.73,87
2024549,João Pedro,Matemática,8.8,3.9,8.7,7.13,86
2024550,Karen Alves,Redes,8.0,5.6,8.8,7.47,72
2024551,Lucas Teixeira,Banco de Dados,4.1,3.6,7.1,4.93,92
2024552,Mariana Farias,Redes,9.7,9.9,8.3,9.3,89
2024553,Nicolas Reis,Estatística,8.2,8.1,2.3,6.2,84
2024554,Olivia Barros,Programação,6.7,8.1,9.2,8.0,97
2024555,Paulo Câmara,Banco de Dados,3.6,5.8,7.2,5.53,87
2024556,Raquel Tavares,Redes,3.8,3.9,5.2,4.3,95
2024557,Samuel Duarte,Banco de Dados,2.1,4.0,3.9,3.33,65
2024558,Tainá Furtado,Redes,2.1,9.3,9.5,6.97,87
2024559,Vitor Hugo,Programação,6.1,7.1,5.4,6.2,66
2024560,Ana Souza,Programação,6.4,5.2,4.8,5.47,75
2024561,Bruno Lima,Matemática,9.4,2.5,8.8,6.9,79
2024562,Carla Mendes,Matemática,6.9,7.8,4.8,6.5,94
2024563,Diego Rocha,Programação,2.1,8.1,2.5,4.23,68
2024564,Elisa Prado,Banco de Dados,7.5,8.7,4.2,6.8,78
2024565,Felipe Nunes,Programação,4.2,10.0,3.9,6.03,100
2024566,Gabriela Melo,Matemática,2.5,5.9,6.9,5.1,71
2024567,Henrique Dias,Programação,3.2,4.2,9.6,5.67,66
2024568,Isabela Castro,Redes,7.8,6.5,3.2,5.83,89
2024569,João Pedro,Estatística,8.9,6.6,3.6,6.37,76
2024570,Karen Alves,Estatística,2.6,6.0,4.4,4.33,74
2024571,Lucas Teixeira,Programação,4.3,4.1,9.1,5.83,78
2024572,Mariana Farias,Programação,5.4,2.9,8.6,5.63,68
2024573,Nicolas Reis,Matemática,3.5,5.1,5.5,4.7,89
2024574,Olivia Barros,Programação,2.4,2.1,6.4,3.63,93
2024575,Paulo Câmara,Programação,2.4,9.4,8.2,6.67,67
2024576,Raquel Tavares,Redes,4.7,8.3,5.1,6.03,91
2024577,Samuel Duarte,Programação,2.6,4.9,5.3,4.27,99
2024578,Tainá Furtado,Redes,2.2,4.7,5.8,4.23,85
2024579,Vitor Hugo,Matemática,2.5,6.0,3.1,3.87,65
2024580,Ana Souza,Matemática,8.4,3.7,5.7,5.93,77
2024581,Bruno Lima,Matemática,7.2,3.4,2.7,4.43,78
2024582,Carla Mendes,Redes,8.5,6.5,7.9,7.63,95
2024583,Diego Rocha,Matemática,7.2,6.0,3.5,5.57,66
2024584,Elisa Prado,Estatística,4.5,9.4,8.2,7.37,91
2024585,Felipe Nunes,Matemática,10.0,2.9,3.3,5.4,69
2024586,Gabriela Melo,Banco de Dados,8.7,5.6,4.5,6.27,91
2024587,Henrique Dias,Matemática,9.9,3.2,3.8,5.63,84
2024588,Isabela Castro,Estatística,8.9,9.4,3.1,7.13,88
2024589,João Pedro,Programação,2.7,5.2,3.2,3.7,76
2024590,Karen Alves,Programação,9.3,4.2,2.7,5.4,66
2024591,Lucas Teixeira,Redes,4.2,7.9,5.6,5.9,95
2024592,Mariana Farias,Programação,5.0,2.2,7.4,4.87,91
2024593,Nicolas Reis,Estatística,4.5,3.8,3.0,3.77,91
2024594,Olivia Barros,Matemática,7.2,6.8,4.4,6.13,100
2024595,Paulo Câmara,Matemática,9.8,7.4,4.2,7.13,87
2024596,Raquel Tavares,Estatística,6.7,4.8,5.1,5.53,73
2024597,Samuel Duarte,Matemática,2.9,7.3,4.6,4.93,99
2024598,Tainá Furtado,Redes,9.4,2.7,8.4,6.83,99
2024599,Vitor Hugo,Banco de Dados,9.9,7.6,7.9,8.47,99
2024600,Ana Souza,Banco de Dados,4.0,6.4,8.3,6.23,97
